name,platform,membership,title_id,product_id,concept_id,entitlement_id,is_preorder,is_downloadable,image_url,store_url
Assassin's Creed® Origins,PS4,NONE,CUSA05625_00,EP0001-CUSA05625_00-GAMEACEMPIRE0000,,EP0001-CUSA05625_00-GAMEACEMPIRE0000,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA05625_00/3/i_1918d4f78a3ed7521b7936984d525927a03a03e241bdd3d748bfd23c104d45db/i/icon0.png,https://store.playstation.com/product/EP0001-CUSA05625_00-GAMEACEMPIRE0000
Curse of the Dead Gods,PS4,PS_PLUS,CUSA19401_00,EP4133-CUSA19401_00-0000000CURSEGAME,,EP4133-CUSA19401_00-0000000CURSEGAME,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA19401_00/1/i_2d4eb9ef85387c2decf445a073c58dfad2a01bb3aed2c6c6c71703af431651e5/i/icon0.png,https://store.playstation.com/product/EP4133-CUSA19401_00-0000000CURSEGAME
Tribes of Midgard,PS4,PS_PLUS,CUSA24749_00,EP0290-PPSA02855_00-TRIBESOFMIDGARD0,,EP0290-CUSA24749_00-TRIBESOFMIDGARD0,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA24749_00/2/i_59044673ae9e0ce40e31820bac10993d5f854a0889d611c6ba556fe1ed42f23f/i/icon0.png,https://store.playstation.com/product/EP0290-PPSA02855_00-TRIBESOFMIDGARD0
Tribes of Midgard,PS5,PS_PLUS,PPSA02855_00,EP0290-PPSA02855_00-TRIBESOFMIDGARD0,,EP0290-PPSA02855_00-TRIBESOFMIDGARD0,False,True,https://image.api.playstation.com/sgst/prod/00/PPSA02855_00/app/info/29/fi_18506961a2c0583e30ec8eb6d166e3ce57ae18aa3c9a74252d1e236f7b90abaa/icon0.png,https://store.playstation.com/product/EP0290-PPSA02855_00-TRIBESOFMIDGARD0
FIFA 22,PS5,PS_PLUS,PPSA03176_00,EP0006-PPSA03176_00-FIFAFOOTBALL2022,,EP0006-PPSA03176_00-FIFAFOOTBALL2022,False,True,https://image.api.playstation.com/sgst/prod/00/PPSA03176_00/app/info/52/fi_b486463d0b82b89306dd89c1e62d9ef06b1a4e67514757873d3645f6ae2d612d/icon0.png,https://store.playstation.com/product/EP0006-PPSA03176_00-FIFAFOOTBALL2022
SpongeBob SquarePants: Battle For Bikini Bottom - Rehydrated,PS4,PS_PLUS,CUSA14909_00,EP4389-CUSA14909_00-SPONGEBOBBFBBEU0,,EP4389-CUSA14909_00-SPONGEBOBBFBBEU0,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA14909_00/4/i_c5bb0ce1278e0c7f13895b383a1e694bf0c1d2b3a4c94bec6af059d05a2da865/i/icon0.png,https://store.playstation.com/product/EP4389-CUSA14909_00-SPONGEBOBBFBBEU0
Slay the Spire,PS4,PS_PLUS,CUSA15338_00,EP3717-CUSA15338_00-SLAYTHESPIREGAME,,EP3717-CUSA15338_00-SLAYTHESPIREGAME,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA15338_00/1/i_7b512893718f3d3926d0ff26d457bca4d2d2239198d32ec106fcc513778c86c9/i/icon0.png,https://store.playstation.com/product/EP3717-CUSA15338_00-SLAYTHESPIREGAME
Ghostwire: Tokyo - Prelude Corrupted Case File,PS4,NONE,CUSA29942_00,EP1003-CUSA29942_00-GWTVISUALNOVELFG,,EP1003-CUSA29942_00-GWTVISUALNOVELFG,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA29942_00/1/i_08f92316b9a9a465e7b9c939b0708ba8377cc8e663676df6d4aab96cad2ff2b4/i/icon0.png,https://store.playstation.com/product/EP1003-CUSA29942_00-GWTVISUALNOVELFG
Team Sonic Racing,PS4,PS_PLUS,CUSA11115_00,EP0177-CUSA11115_00-TEAMSONICRACING1,,EP0177-CUSA11115_00-TEAMSONICRACING1,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA11115_00/2/i_f0b61619a4f13cb1749a986d662716ef654005c153193e48723c09fb5a2abc37/i/icon0.png,https://store.playstation.com/product/EP0177-CUSA11115_00-TEAMSONICRACING1
Ghostrunner,PS5,PS_PLUS,PPSA03685_00,EP4040-PPSA03685_00-GHOSTRUNNERPS500,,EP4040-PPSA03685_00-GHOSTRUNNER00000,False,True,https://image.api.playstation.com/sgst/prod/00/PPSA03685_00/app/info/30/f_24c77c44b16fafb2ec24381aa67bf4f30646e91bdd62a63b0c239964ef993b14/icon0.png,https://store.playstation.com/product/EP4040-PPSA03685_00-GHOSTRUNNERPS500
